Drug_Name,Indication
Promethazine,"Promethazine tablets and suppositories are indicated to treat rhinitis, allergic conjunctivitis, allergic reactions to blood or plasma, dermographism, anaphylactic reactions, sedation, nausea, vomiting, pain, motion sickness, and allergic skin reactions.[A189907,L4000] Promethazine cough syrup with phenylephrine and codeine is indicated to relieve cough and upper respiratory symptoms, and nasal congestion associated with allergy or the common cold.[L11326]"
Propafenone,"Used to prolong the time to recurrence of paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms in patients without structural heart disease. Also used for the treatment of life-threatening documented ventricular arrhythmias, such as sustained ventricular tachycardia."
Propanoic acid,"Propanoic acid and various direct sodium or calcium salt formulations of the acid are currently most commonly approved and indicated by organizations like the FDA and EMA for use as an antibacterial food additive preservative in animal feed and food for human consumption [L2715, L2716]. Similarly, although the use of propanoic acid or any of its direct sodium or calcium salt formulations as excipient ingredients in pharmaceuticals is not necessarily a major role for the compound today, sodium propionate was used in some vaginal cream preparations indicated for cervicitis, cervical tears, and/or postcauterization, postcryosurgery, and postconization of the cervix [T193]. In such products, the sodium propionate was primarily used to elicit a preservative, bacteriostatic [L2710, F50] effect while other active ingredients combined in the formulation like urea, benzalkonium chloride, inositol, and methionine and cystine amino acids facilitated debridement, enhanced medication spread, epithelialization promotion, and wound healing, respectively [L2710, A32973]. Nevertheless, a great variety of propionic acid derivatives exist as separate pharmaceuticals, each with their own unique therapeutic categories, pharmacodynamics, and pharmacokinetics."
Propantheline,"For the treatment of enuresis. It has also been used for hyperhidrosis, and cramps or spasms of the stomach, intestines or bladder."
Proparacaine,Used as a local (ophthalmic) anesthetic.
Propiolactone,"Propiolactone was used for vaccines, tissue grafts, surgical instruments, and enzymes, as a sterilant of blood plasma, water, milk and nutrient broth as a vapor-phase disinfectant in enclosed spaces. Its sporicidal action is used against vegetative bacteria, pathologic fungi, and viruses.[L1717] It is no longer used in medical procedures or in food.[A32144]"
Propiomazine,Propiomazine is largely used for its antihistamininc sleep inducing effects in treating insomnia.
Propiverine,Indicated for symptomatic treatment of urinary incontinence and/or increased urinary frequency and urgency in patients with overactive bladder (OAB) [L2315]. Propiverine may also be used in patients with neurogenic bladder as a result of spinal cord injury [A32581].
Propofol,Used for induction and/or maintenance of anaesthesia and for management of refractory status epilepticus.
Propoxycaine,Propoxycaine is a local anesthetic medication. It was used beginning in the 1950s during dental procedures [L1591]. It has been combined with procaine to accelerate its onset of action and provide longer-lasting anesthetic effect [L1592]. It was produced for use when amide local anesthetics were contraindicated due to allergy or when several amide anesthetics were unsuccessful [L1592].
Propranolol,"Propranolol is indicated to treat hypertension.[L6907,L6904] Propranolol is also indicated to treat angina pectoris due to coronary atherosclerosis, atrial fibrillation, myocardial infarction, migraine, essential tremor, hypertrophic subaortic stenosis, pheochromocytoma, and proliferating infantile hemangioma.[L6904,L6907]"
Propylhexedrine,"It is used to provide temporary symptomatic relief of nasal congestion due to colds, allergies and allergic rhinitis."
Propylparaben,Propylparaben is used in allergenic testing.
Propylthiouracil,Used to manage hyperthyroidism which is due to an overactive thyroid gland (Grave's disease).
Protamine sulfate,"Protamine sulfate is indicated for counteracting or reversing the anticoagulant effect of heparin as necessary [F3559, F3562, L5371, L5443]. Such reversal may, for example, be required often before surgery; after renal hemodialysis; post open heart surgery; whenever excessive bleeding results from heparin use; and/or for the treatment of heparin overdosage, among other similar or related circumstances [F3559, F3562, L5371, L5443]."
Protein C,"Protein C concentrate is indicated for pediatric and adult patients with severe congenital protein C deficiency for the prevention and treatment of venous thrombosis and purpura fulminans.[L12831] It is also found as a component of some prothrombin complex concentrate (i.e. [Factor IX Complex (Human)]) formulations, such as Kcentra.[L12834] Along with other blood coagulation factors, it is used to reverse acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with a need for an urgent surgery/invasive procedure.[L50517]"
Protein S human,"Protein S is administered as part of a cocktail containing several other coagulation factors. Along with other blood coagulation factors, it is used to reverse acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with a need for an urgent surgery/invasive procedure.[L50517]"
Prothrombin,"Prothrombin is administered as part of a cocktail containing several coagulation factors. Along with other blood coagulation factors, it is used to reverse acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with a need for an urgent surgery/invasive procedure.[L50517]"
Protriptyline,For the treatment of depression.
Prucalopride,Prucalopride is indicated for the treatment of chronic idiopathic constipation (CIC) in adults.[L4882] CIC is one of the most common chronic functional gastrointestinal disorders worldwide. The diagnosis of this agent is very hard and it can be confirmed if the patient experience at least two of the following: -Straining during more than 25% of the bowel movements. -Lumpy or hard stools in 25% of the bowel movements. -Sensation of incomplete evacuation in more than 25% of all bowel movements. -Sensation of anorectal blockage or obstruction in more than 25% of the bowel movements. -Manual maneuvers required in more than 25% of the bowel movements. -Fewer than 3 bowel movements per week.[L4883]
Prussian blue,Indicated for treatment of patients with known or suspected internal contamination with radioactive cesium and/or radioactive or non-radioactive thallium to increase their rates of elimination.
Pseudoephedrine,"Pseudoephedrine is a sympathomimetic amine used for its decongestant activity.[L11031,L11037,L11040,L11046,L11052,L11058,L11061]"
Pyrantel,"For the treatment of enterobiasis including roundworm (ascariasis), pinworm (enterobius) and hookworm (strongyloides) and hookworm (ancylostoma) in the pyrantel pamoate form [L1893]. Pyrantel is available in various formulations for humans, dogs, and cats as the pamoate (US Pharmacopeia nomenclature) or embonate (European Pharmacopoeia nomenclature) salt, which contains 34.7% pyrantel base combined with pamoic acid [L1893]. [L1900], [A32283]. Pyrantel pamoate (embonate) ingested orally is effective for removal and control of ascarid and hookworm infections in puppies and dogs (adult Toxocara canis, Toxascaris leonina, Ancylostoma tubaeforme, An. braziliense, Uncinaria stenocephala), cats (adult Toxocara cati, Toxa. leonina, An. caninum, An. braziliense, U. stenocephala), horses and ponies (adult and immature Parascaris equorum, adult Strongylus vulgaris, S. edentatus, S. equinus, Cyathostomes (Triodontophorus spp., Cyathostomum spp., Cylicodontophorus spp., Cylicocyclus spp., Cylicostephanus spp., Poteriostomum spp.), Oxyuris equi, Anoplocephala perfoliata), swine (adult Ascaris suum, Oesophagostomum dentatum), and humans (adult A. lumbricoides, Enterobius vermicularis, An. duodenale, Necator americanus) [L1900]."
